vessel_name,imo_number,berth_id,start_time,end_time,status
ELSE,9462495,B120,2026-08-29T04:15:00+00:00,2026-08-29T12:35:32.856080+00:00,confirmed
VAN KNIGHT,9602966,B108,2026-08-29T04:15:00+00:00,2026-08-29T12:57:14.044356+00:00,confirmed
EVER LYRIC,9629108,B12,2026-08-29T04:15:00+00:00,2026-08-29T14:29:47.700526+00:00,confirmed
LOCOMOTION,9667423,B16,2026-08-29T04:30:00+00:00,2026-08-29T16:19:11.210199+00:00,confirmed
MEDI NOSHIMA,1026984,B107,2026-08-29T04:30:00+00:00,2026-08-29T14:03:04.762029+00:00,confirmed
AFRA MARE,9404936,B104,2026-08-29T05:00:00+00:00,2026-08-29T10:40:19.100685+00:00,confirmed
SEAMERIDIAN,9462897,B36,2026-08-29T05:00:00+00:00,2026-08-29T15:55:00.370027+00:00,confirmed
REGENT GEMINI,9736004,B113,2026-08-29T05:00:00+00:00,2026-08-29T13:53:12.120106+00:00,confirmed
ALS VENUS,9525948,B17,2026-08-29T05:00:00+00:00,2026-08-29T16:04:43.874454+00:00,confirmed
SPIL KARTINI,9353266,B44,2026-08-29T05:15:00+00:00,2026-08-29T15:56:17.754806+00:00,confirmed
HMM STOCKHOLM,9868352,B37,2026-08-29T05:15:00+00:00,2026-08-29T16:40:23.122366+00:00,confirmed
ALEX,9482122,B41,2026-08-29T05:30:00+00:00,2026-08-29T15:44:55.247363+00:00,confirmed
XIN HAI TONG 38,9622784,B87,2026-08-29T05:30:00+00:00,2026-08-29T11:40:07.961864+00:00,confirmed
DE XIN XING LONG,9612088,B99,2026-08-29T05:45:00+00:00,2026-08-29T16:26:19.392837+00:00,confirmed
SD EMERALD,9447512,B15,2026-08-29T06:00:00+00:00,2026-08-29T15:48:50.014649+00:00,confirmed
NUSANTARA 2501,0,B119,2026-08-29T06:00:00+00:00,2026-08-29T13:53:11.965665+00:00,confirmed
GLORY BLUE,9430686,B98,2026-08-29T06:00:00+00:00,2026-08-29T16:49:27.219257+00:00,confirmed
INNOVATION WAY,9221205,B127,2026-08-29T06:00:00+00:00,2026-08-29T17:31:02.607117+00:00,confirmed
KOTA JOHAN,9641003,B21,2026-08-29T06:00:00+00:00,2026-08-29T16:06:17.651721+00:00,confirmed
POLYAIGOS,9306574,B110,2026-08-29T06:00:00+00:00,2026-08-29T15:43:47.709188+00:00,confirmed
FURE VALENTIA,1033377,B46,2026-08-29T06:00:00+00:00,2026-08-29T13:16:41.841997+00:00,confirmed
GEMINI LEADER,9519121,B48,2026-08-29T06:30:00+00:00,2026-08-29T13:35:26.588889+00:00,confirmed
BLUEBIRD ARROW,9635377,B59,2026-08-29T06:30:00+00:00,2026-08-29T14:49:41.018505+00:00,confirmed
SANTA REGINA,9675274,B50,2026-08-29T06:30:00+00:00,2026-08-29T17:54:24.921490+00:00,confirmed
RINI,9411006,B11,2026-08-29T06:45:00+00:00,2026-08-29T11:42:04.236605+00:00,confirmed
MINERAL NACER,9719939,B132,2026-08-29T06:45:00+00:00,2026-08-29T14:24:01.229933+00:00,confirmed
SAMWOH PRIDE,9433248,B95,2026-08-29T07:00:00+00:00,2026-08-29T15:24:06.969690+00:00,confirmed
KOTA NEKAD,9390252,B18,2026-08-29T07:00:00+00:00,2026-08-29T11:04:02.150537+00:00,confirmed
BINA MARINE 80,0,B35,2026-08-29T07:00:00+00:00,2026-08-29T12:31:13.583043+00:00,confirmed
MARCEL,9597812,B102,2026-08-29T07:00:00+00:00,2026-08-29T17:29:52.144553+00:00,confirmed
BINA MARINE 109,9634476,B124,2026-08-29T07:00:00+00:00,2026-08-29T16:09:07.371599+00:00,confirmed
GARUDA MAKMUR,9627784,B128,2026-08-29T07:00:00+00:00,2026-08-29T18:53:45.372350+00:00,confirmed
LL LEXXUS,9712072,B86,2026-08-29T07:00:00+00:00,2026-08-29T18:32:44.460651+00:00,confirmed
GARUDA ABADI,9682306,B93,2026-08-29T07:00:00+00:00,2026-08-29T17:53:50.608215+00:00,confirmed
CONCORD SERENITY,9277785,B126,2026-08-29T07:00:00+00:00,2026-08-29T14:36:46.090636+00:00,confirmed
LL 2508,0,B29,2026-08-29T07:00:00+00:00,2026-08-29T17:53:01.975285+00:00,confirmed
SOL 2317,3381829,B91,2026-08-29T07:00:00+00:00,2026-08-29T12:45:57.516921+00:00,confirmed
RIBERA DEL DUERO KNUTSEN,9477593,B39,2026-08-29T07:00:00+00:00,2026-08-29T12:52:08.001738+00:00,confirmed
SOL 1006,5630136,B23,2026-08-29T07:00:00+00:00,2026-08-29T11:06:27.223814+00:00,confirmed
SAMUDRA III,5101111,B111,2026-08-29T07:00:00+00:00,2026-08-29T18:20:21.484856+00:00,confirmed
MEGAMAS STAR,9796523,B60,2026-08-29T07:00:00+00:00,2026-08-29T18:55:23.442071+00:00,confirmed
CENDERAWASIH BAY 2308,5250221,B103,2026-08-29T07:00:00+00:00,2026-08-29T14:03:03.222263+00:00,confirmed
SOL 1009,8782159,B65,2026-08-29T07:00:00+00:00,2026-08-29T17:26:39.603609+00:00,confirmed
EVER OUTWIT,9913901,B13,2026-08-29T07:00:00+00:00,2026-08-29T12:38:23.724472+00:00,confirmed
HANIFARU BAY 2317,5667010,B70,2026-08-29T07:00:00+00:00,2026-08-29T15:10:23.429809+00:00,confirmed
BAJ 2302,0,B62,2026-08-29T07:00:00+00:00,2026-08-29T14:21:06.070945+00:00,confirmed
CASSANDRA 2505,5633580,B34,2026-08-29T07:00:00+00:00,2026-08-29T12:10:36.101751+00:00,confirmed
CHILEAN DOLPHIN,1078872,B27,2026-08-29T07:00:00+00:00,2026-08-29T16:41:49.050268+00:00,confirmed
BUCARELI BAY 2333,3066630,B56,2026-08-29T07:00:00+00:00,2026-08-29T15:42:23.701091+00:00,confirmed
CASSANDRA 235,1128172,B42,2026-08-29T07:00:00+00:00,2026-08-29T14:29:15.603438+00:00,confirmed
CASSANDRA 2506,0,B96,2026-08-29T07:00:00+00:00,2026-08-29T11:02:25.984507+00:00,confirmed
CASSANDRA 236,1143146,B20,2026-08-29T07:00:00+00:00,2026-08-29T15:30:56.234919+00:00,confirmed
GRANITE JALADHI,0,B45,2026-08-29T07:00:00+00:00,2026-08-29T11:19:03.261468+00:00,confirmed
LL ASRI,9922586,B79,2026-08-29T07:00:00+00:00,2026-08-29T11:19:43.791399+00:00,confirmed
SUMBER CIPTA I,0,B97,2026-08-29T07:00:00+00:00,2026-08-29T14:29:41.376594+00:00,confirmed
SEMBILAN ENAM 96,6360100,B83,2026-08-29T07:04:56+00:00,2026-08-29T13:43:49.495156+00:00,confirmed
GLOVIS SUPERIOR,9674189,B90,2026-08-29T07:15:00+00:00,2026-08-29T13:46:00.041495+00:00,confirmed
BINA MARINE 27,9508562,B24,2026-08-29T07:23:32+00:00,2026-08-29T16:31:26.756717+00:00,confirmed
TOLL JADE,9355915,B118,2026-08-29T07:30:00+00:00,2026-08-29T18:22:58.664542+00:00,confirmed
ESTEEM DISCOVERY,9882358,B52,2026-08-29T07:30:00+00:00,2026-08-29T12:29:37.537062+00:00,confirmed
AYU 28,9413080,B75,2026-08-29T07:30:43+00:00,2026-08-29T14:40:06.924240+00:00,confirmed
CSPC TAURUS,1051927,B76,2026-08-29T07:45:00+00:00,2026-08-29T13:17:48.322473+00:00,confirmed
ANDAMAN PRINCESS,0,B105,2026-08-29T07:48:30+00:00,2026-08-29T15:31:45.111689+00:00,confirmed
EPICUREAN,3021090,B129,2026-08-29T07:52:42+00:00,2026-08-29T15:39:47.693228+00:00,confirmed
GH VISION,9637791,B22,2026-08-29T08:00:00+00:00,2026-08-29T16:28:08.963825+00:00,confirmed
HUA HAI LONG,9560144,B74,2026-08-29T08:00:00+00:00,2026-08-29T13:23:53.237326+00:00,confirmed
PAN MARGARET,9545297,B47,2026-08-29T08:00:00+00:00,2026-08-29T16:44:26.110478+00:00,confirmed
BUKIT EMAS 2371,0,B92,2026-08-29T08:00:00+00:00,2026-08-29T17:02:24.262030+00:00,confirmed
CAPE APOLLO,9324136,B49,2026-08-29T08:00:00+00:00,2026-08-29T12:24:17.629832+00:00,confirmed
FALCON DELAPAN,5642650,B03,2026-08-29T08:00:00+00:00,2026-08-29T12:39:29.005435+00:00,confirmed
NEFELI,9317468,B43,2026-08-29T08:00:00+00:00,2026-08-29T16:02:44.356740+00:00,confirmed
MSC MARGRIT XIII,9465318,B69,2026-08-29T08:00:00+00:00,2026-08-29T19:20:13.231873+00:00,confirmed
INDAH LAUT 2201,0,B88,2026-08-29T08:00:00+00:00,2026-08-29T13:53:00.142582+00:00,confirmed
PCF 2402,0,B51,2026-08-29T08:00:00+00:00,2026-08-29T14:28:25.820508+00:00,confirmed
ASL ABADI 1,8661628,B122,2026-08-29T08:00:00+00:00,2026-08-29T12:41:23.460927+00:00,confirmed
ZHONG SHENG 1,8580680,B19,2026-08-29T08:00:00+00:00,2026-08-29T15:20:42.026840+00:00,confirmed
YA QING ZHI XING,1065978,B63,2026-08-29T08:00:00+00:00,2026-08-29T16:55:28.532835+00:00,confirmed
LIVERPOOL BAY 2334,5111019,B64,2026-08-29T08:00:00+00:00,2026-08-29T12:29:27.275701+00:00,confirmed
AMAKUSA DOLPHIN,1060083,B07,2026-08-29T08:00:00+00:00,2026-08-29T19:56:56.745272+00:00,confirmed
INTAN JALADHI,0,B101,2026-08-29T08:00:00+00:00,2026-08-29T15:25:13.282659+00:00,confirmed
SHENG XIN 2,1121760,B09,2026-08-29T08:15:00+00:00,2026-08-29T12:39:14.687651+00:00,confirmed
BINA MARINE 86,0,B78,2026-08-29T08:30:00+00:00,2026-08-29T15:26:15.583371+00:00,confirmed
KPS 1306,0,B112,2026-08-29T08:30:00+00:00,2026-08-29T20:25:51.380887+00:00,confirmed
DRAKO EXCELLENT,9638276,B61,2026-08-29T08:30:00+00:00,2026-08-29T20:23:04.259555+00:00,confirmed
DARYA TIANA,9720316,B130,2026-08-29T08:30:00+00:00,2026-08-29T17:13:26.436425+00:00,confirmed
SPAIN B,9722924,B82,2026-08-29T08:30:00+00:00,2026-08-29T15:49:52.775614+00:00,confirmed
BAJ 2305,0,B58,2026-08-29T08:30:00+00:00,2026-08-29T19:02:08.481908+00:00,confirmed
BW JUSTICE,9327906,B53,2026-08-29T08:30:07+00:00,2026-08-29T19:21:20.909115+00:00,confirmed
BINA MARINE 85,9627215,B01,2026-08-29T08:30:39+00:00,2026-08-29T20:08:48.374749+00:00,confirmed
ABHIMATA 1,5251012,B40,2026-08-29T08:43:12+00:00,2026-08-29T19:00:27.646823+00:00,confirmed
ANDROMEDA V,9174115,B67,2026-08-29T09:00:00+00:00,2026-08-29T19:36:26.607655+00:00,confirmed
GHT MARINAS,8014667,B72,2026-08-29T09:00:00+00:00,2026-08-29T18:13:02.596437+00:00,confirmed
NORD VICTORIOUS,9903138,B28,2026-08-29T09:00:00+00:00,2026-08-29T18:08:43.351071+00:00,confirmed
WINSTAR 2320,0,B100,2026-08-29T09:00:00+00:00,2026-08-29T16:02:32.735099+00:00,confirmed
ESTEEM ENERGY,9882346,B26,2026-08-29T09:00:00+00:00,2026-08-29T19:51:51.356039+00:00,confirmed
CASSANDRA 1,1116715,B68,2026-08-29T09:00:09+00:00,2026-08-29T13:08:01.427077+00:00,confirmed
WINSTAR CHAMPION,9208552,B10,2026-08-29T09:00:34+00:00,2026-08-29T20:37:02.882430+00:00,confirmed
TITANINDO I,1047598,B33,2026-08-29T09:00:39+00:00,2026-08-29T15:04:02.631187+00:00,confirmed
CAPE RACE,9601728,B02,2026-08-29T09:15:00+00:00,2026-08-29T14:04:51.391136+00:00,confirmed
GASLOG HONG KONG,9748904,B14,2026-08-29T09:30:00+00:00,2026-08-29T14:14:43.346764+00:00,confirmed
VAN HANNAH,9965021,B31,2026-08-29T09:30:00+00:00,2026-08-29T20:36:58.654778+00:00,confirmed
BASSILEVOUSA,9295335,B85,2026-08-29T09:45:00+00:00,2026-08-29T15:04:24.057448+00:00,confirmed
EVER MEED,9935258,B125,2026-08-29T09:45:00+00:00,2026-08-29T18:02:21.529539+00:00,confirmed
BERGE ROSA,9346378,B57,2026-08-29T10:00:00+00:00,2026-08-29T16:44:07.201757+00:00,confirmed
IRENES RAY,9322504,B77,2026-08-29T10:00:00+00:00,2026-08-29T20:20:03.583420+00:00,confirmed
MS SALVIA,9368924,B80,2026-08-29T10:00:00+00:00,2026-08-29T14:57:45.981418+00:00,confirmed
OIGAWA,9434242,B123,2026-08-29T10:00:00+00:00,2026-08-29T18:05:57.644188+00:00,confirmed
CE HAMILTON,9411238,B32,2026-08-29T10:00:00+00:00,2026-08-29T19:19:10.906192+00:00,confirmed
ASTRAL ACE,9182368,B54,2026-08-29T10:00:00+00:00,2026-08-29T15:37:47.337978+00:00,confirmed
BLUE NAVIGATOR,9966879,B94,2026-08-29T10:00:00+00:00,2026-08-29T15:19:35.844179+00:00,confirmed
STOLT COMMITMENT,9168647,B25,2026-08-29T10:15:00+00:00,2026-08-29T16:26:14.649814+00:00,confirmed
FLC FORTUNE,9482500,B05,2026-08-29T10:30:00+00:00,2026-08-29T18:01:24.475888+00:00,confirmed
XT PROGRESS,9500144,B73,2026-08-29T10:30:00+00:00,2026-08-29T15:26:07.877491+00:00,confirmed
CAPTAIN A STELLATOS,9439670,B109,2026-08-29T11:00:00+00:00,2026-08-29T16:39:18.538499+00:00,confirmed
HANYU CAMELLIA,9542154,B81,2026-08-29T11:00:00+00:00,2026-08-29T15:43:58.307821+00:00,confirmed
SEAPEAK MANILA,9770921,B116,2026-08-29T11:00:00+00:00,2026-08-29T15:27:06.031281+00:00,confirmed
HL MERCURY,9845142,B06,2026-08-29T11:00:00+00:00,2026-08-29T20:15:07.737083+00:00,confirmed
NORD ARIES,9785976,B84,2026-08-29T11:00:00+00:00,2026-08-29T22:28:41.727991+00:00,confirmed
SOLAR LAI FONG,9907809,B08,2026-08-29T11:00:00+00:00,2026-08-29T18:44:29.815611+00:00,confirmed
MSC GEMMA,9936616,B104,2026-08-29T11:00:00+00:00,2026-08-29T17:06:35.052121+00:00,confirmed
YIHAI 18,1075428,B133,2026-08-29T11:00:00+00:00,2026-08-29T20:42:56.143188+00:00,confirmed
SIEM SYMPHONY,9690066,B106,2026-08-29T11:00:00+00:00,2026-08-29T16:32:24.745187+00:00,confirmed
CL SPEC LINDA,1122570,B04,2026-08-29T11:00:00+00:00,2026-08-29T21:07:20.416406+00:00,confirmed
MARISCA TIDE,9289506,B23,2026-08-29T11:30:00+00:00,2026-08-29T22:22:19.870166+00:00,confirmed
ANNABEL L,9853711,B96,2026-08-29T11:40:00+00:00,2026-08-29T17:42:43.603859+00:00,confirmed
DIANTHUS,9615080,B87,2026-08-29T11:45:00+00:00,2026-08-29T22:53:27.625898+00:00,confirmed
ORKIM HARMONY,9524671,B79,2026-08-29T12:00:00+00:00,2026-08-29T21:34:43.633836+00:00,confirmed
POAVOSA BRAVE,9519195,B45,2026-08-29T12:00:00+00:00,2026-08-29T19:21:08.822997+00:00,confirmed
OOCL INDONESIA,9776224,B66,2026-08-29T12:00:00+00:00,2026-08-29T21:00:54.542021+00:00,confirmed
BERGE NISHIKAWA,9863792,B11,2026-08-29T12:00:00+00:00,2026-08-29T21:30:14.630048+00:00,confirmed
ALS FIDES,9938315,B18,2026-08-29T12:00:00+00:00,2026-08-29T20:46:37.344928+00:00,confirmed
YUAN XIANG FA ZHAN,1053028,B89,2026-08-29T12:00:00+00:00,2026-08-29T18:43:07.082332+00:00,confirmed
MSC ANGOLA,9978729,B30,2026-08-29T12:30:00+00:00,2026-08-29T21:22:40.486313+00:00,confirmed
SUPER HERO,9341330,B64,2026-08-29T13:00:00+00:00,2026-08-29T18:17:10.554177+00:00,confirmed
ORE TANGSHAN,9815202,B39,2026-08-29T13:00:00+00:00,2026-08-29T23:00:48.715317+00:00,confirmed
PIONEER JAY 1,1145429,B09,2026-08-29T13:00:00+00:00,2026-08-29T20:18:11.339890+00:00,confirmed
MSC EMILY II,9236444,B68,2026-08-29T13:30:00+00:00,2026-08-29T18:08:06.018446+00:00,confirmed
KIM OLDENDORFF,9848998,B52,2026-08-29T13:30:00+00:00,2026-08-30T01:01:40.095234+00:00,confirmed
E CHEMIST,9809655,B76,2026-08-29T13:30:00+00:00,2026-08-29T22:27:24.283091+00:00,confirmed
FRANZISKA,9535618,B83,2026-08-29T14:00:00+00:00,2026-08-29T20:53:07.231425+00:00,confirmed
XIN LAN ZHOU,9523031,B13,2026-08-29T14:00:00+00:00,2026-08-29T18:53:45.754623+00:00,confirmed
NAVE ATROPOS,9638563,B03,2026-08-29T14:00:00+00:00,2026-08-30T00:24:06.280204+00:00,confirmed
SALVIA,9409508,B90,2026-08-29T14:00:00+00:00,2026-08-30T00:06:09.937798+00:00,confirmed
VICTORY LIGHT,9161871,B38,2026-08-29T14:00:00+00:00,2026-08-29T18:29:38.400277+00:00,confirmed
SEA LONGEVITY,9711092,B46,2026-08-29T14:00:00+00:00,2026-08-29T22:22:05.526638+00:00,confirmed
SUN APOLLON,9700445,B121,2026-08-29T14:00:00+00:00,2026-08-29T23:45:44.322709+00:00,confirmed
AN HANG 99,1145209,B108,2026-08-29T14:00:00+00:00,2026-08-29T21:32:49.282217+00:00,confirmed
GAS VIOLET,1030260,B71,2026-08-29T14:00:00+00:00,2026-08-29T22:11:49.799175+00:00,confirmed
AC AMITY,9623116,B49,2026-08-29T14:15:00+00:00,2026-08-29T23:38:13.473119+00:00,confirmed
HK DELIGHT,9370238,B51,2026-08-29T14:30:00+00:00,2026-08-29T22:58:09.764834+00:00,confirmed
OCEAN STAR,9363857,B103,2026-08-29T15:00:00+00:00,2026-08-29T20:13:35.839134+00:00,confirmed
EVER USEFUL,9168879,B91,2026-08-29T15:00:00+00:00,2026-08-29T19:05:49.514089+00:00,confirmed
MEDIATOR,0,B119,2026-08-29T15:00:18+00:00,2026-08-29T19:19:53.141873+00:00,confirmed
FRONT EARL,9788320,B62,2026-08-29T15:15:00+00:00,2026-08-30T01:31:21.121530+00:00,confirmed
CONCORD,9274006,B42,2026-08-29T15:30:00+00:00,2026-08-30T01:32:01.897321+00:00,confirmed
MINERAL KWANGYANG,9722429,B132,2026-08-29T15:30:00+00:00,2026-08-29T22:44:08.364865+00:00,confirmed
AQUAVITA TRUST,9826445,B107,2026-08-29T15:45:00+00:00,2026-08-30T02:11:02.486908+00:00,confirmed
GREAT CASABLANCA,9935052,B73,2026-08-29T15:45:00+00:00,2026-08-30T03:00:01.087553+00:00,confirmed
KOTA HALUS,9238612,B33,2026-08-29T16:00:00+00:00,2026-08-30T01:22:31.569892+00:00,confirmed
THARINEE NAREE,9333242,B116,2026-08-29T16:00:00+00:00,2026-08-30T03:19:03.712628+00:00,confirmed
BOW SAGA,9215309,B75,2026-08-29T16:00:00+00:00,2026-08-29T21:04:44.922523+00:00,confirmed
CHANG HANG FENG CAI,9379789,B70,2026-08-29T16:00:00+00:00,2026-08-30T02:34:32.366656+00:00,confirmed
LUCAS,9474591,B95,2026-08-29T16:00:00+00:00,2026-08-29T23:21:47.470107+00:00,confirmed
MAJU DAYA 61,9760718,B20,2026-08-29T16:00:00+00:00,2026-08-30T03:50:40.962530+00:00,confirmed
FARAH LOUISE,9785603,B101,2026-08-29T16:00:00+00:00,2026-08-29T20:28:04.040356+00:00,confirmed
CMA CGM AMAZON,9706308,B88,2026-08-29T16:00:00+00:00,2026-08-29T23:30:13.957838+00:00,confirmed
HENG HUI 69,1044132,B59,2026-08-29T16:00:00+00:00,2026-08-29T20:13:14.247598+00:00,confirmed
MARCOPOLO 806,0,B82,2026-08-29T16:00:00+00:00,2026-08-30T00:23:40.839142+00:00,confirmed
BOCHEM OSLO,9420710,B21,2026-08-29T16:15:00+00:00,2026-08-29T21:34:40.709656+00:00,confirmed
EMERALD DONGJI,9726528,B100,2026-08-29T16:15:00+00:00,2026-08-29T22:23:33.986233+00:00,confirmed
PACIFIC WORLD,9000259,B36,2026-08-29T16:30:00+00:00,2026-08-29T23:55:01.279611+00:00,confirmed
MAERSK STADELHORN,9726671,B80,2026-08-29T16:30:00+00:00,2026-08-29T21:59:28.308533+00:00,confirmed
MAERSK CAPRI,9786140,B35,2026-08-29T16:30:00+00:00,2026-08-30T03:13:36.880358+00:00,confirmed
SHINE PEARL,9971496,B15,2026-08-29T16:45:00+00:00,2026-08-29T21:11:44.639249+00:00,confirmed
XAN,9354545,B12,2026-08-29T17:00:00+00:00,2026-08-29T23:47:40.898615+00:00,confirmed
CONSTANCY,9493042,B117,2026-08-29T17:00:00+00:00,2026-08-29T21:54:46.199302+00:00,confirmed
MEDI EOLIE,9728186,B122,2026-08-29T17:00:00+00:00,2026-08-29T23:54:18.565552+00:00,confirmed
MINERAL SUMIRE,9701358,B14,2026-08-29T17:00:00+00:00,2026-08-30T00:56:33.338267+00:00,confirmed
TRUONG MINH LUCKY,9391622,B131,2026-08-29T17:00:00+00:00,2026-08-30T03:03:01.387384+00:00,confirmed
EAGLE AMETHYST,9980655,B114,2026-08-29T17:00:00+00:00,2026-08-30T02:46:08.626825+00:00,confirmed
EM SHONA,1072660,B16,2026-08-29T17:00:00+00:00,2026-08-29T21:39:29.498992+00:00,confirmed
PARTHENON LNG,9992220,B47,2026-08-29T17:00:00+00:00,2026-08-30T00:49:53.436515+00:00,confirmed
RUN JIU 68,1118464,B43,2026-08-29T17:00:00+00:00,2026-08-30T02:06:52.455841+00:00,confirmed
CAPE BOSS,9268796,B115,2026-08-29T17:30:00+00:00,2026-08-30T04:41:42.085752+00:00,confirmed
EVA GOLD,9888132,B56,2026-08-29T17:45:00+00:00,2026-08-30T02:49:06.859864+00:00,confirmed
ASIAN GRACE,9317030,B124,2026-08-29T18:00:00+00:00,2026-08-30T03:20:35.545319+00:00,confirmed
SANMAR SAROD,9321184,B34,2026-08-29T18:00:00+00:00,2026-08-30T05:24:42.966315+00:00,confirmed
MRC SEDEF,9335032,B74,2026-08-29T18:00:00+00:00,2026-08-30T03:11:57.192743+00:00,confirmed
BHUDTHI BHUM,9403621,B130,2026-08-29T18:00:00+00:00,2026-08-29T23:47:15.359278+00:00,confirmed
NOEL,9414319,B109,2026-08-29T18:00:00+00:00,2026-08-29T22:05:49.019988+00:00,confirmed
INFINITI 5,0,B24,2026-08-29T18:00:00+00:00,2026-08-30T03:34:36.426100+00:00,confirmed
AN XING ZUO,9614062,B54,2026-08-29T18:00:00+00:00,2026-08-30T01:06:05.090425+00:00,confirmed
MACAU STAR,9947897,B81,2026-08-29T18:00:00+00:00,2026-08-30T05:40:22.262381+00:00,confirmed
NSU TUBARAO,9848194,B98,2026-08-29T18:00:00+00:00,2026-08-30T05:36:03.306586+00:00,confirmed
EL NINA SAMUDRA,9824966,B129,2026-08-29T18:00:00+00:00,2026-08-30T01:35:11.433333+00:00,confirmed
JIADA,9546112,B05,2026-08-29T18:30:00+00:00,2026-08-30T06:05:26.618806+00:00,confirmed
CYCAS,9403114,B29,2026-08-29T19:00:00+00:00,2026-08-30T02:00:23.754432+00:00,confirmed
CL AQABA,9446128,B86,2026-08-29T19:00:00+00:00,2026-08-30T01:49:37.121370+00:00,confirmed
LAKE ANNECY,9946063,B13,2026-08-29T19:00:00+00:00,2026-08-30T05:12:09.268251+00:00,confirmed
IOLCOS AMBITION,9530632,B41,2026-08-29T19:30:00+00:00,2026-08-29T23:41:14.085552+00:00,confirmed
MTT SANDAKAN,9872248,B91,2026-08-29T19:30:00+00:00,2026-08-29T23:34:47.787178+00:00,confirmed
AGRI WARRIOR,9780988,B38,2026-08-29T19:30:00+00:00,2026-08-30T04:51:03.928237+00:00,confirmed
BHUREEMAS,9547568,B58,2026-08-29T20:00:00+00:00,2026-08-30T05:12:25.727923+00:00,confirmed
HEDWIG SCHULTE,9535149,B110,2026-08-29T20:00:00+00:00,2026-08-30T03:06:01.218557+00:00,confirmed
BRAVE EAGLE,1014424,B118,2026-08-29T20:00:00+00:00,2026-08-30T04:05:10.429112+00:00,confirmed
KOTA VALPARAISO,9937531,B93,2026-08-29T20:00:00+00:00,2026-08-30T00:51:42.126711+00:00,confirmed
FRONT CLYDE,1116038,B102,2026-08-29T20:00:00+00:00,2026-08-30T01:09:54.260179+00:00,confirmed
BAI CHAY BRIDGE,9463346,B44,2026-08-29T20:30:00+00:00,2026-08-30T03:51:12.097807+00:00,confirmed
