vessel_name,imo_number,tug_id,start_time,end_time,status
GRAND LEGACY,9355240,T31,2026-08-29T02:30:00+00:00,2026-08-29T03:27:09.054900+00:00,confirmed
HIERA M,1081764,T20,2026-08-29T02:30:00+00:00,2026-08-29T03:27:41.642602+00:00,confirmed
HAFNIA PANTHER,9694464,T18,2026-08-29T03:00:00+00:00,2026-08-29T03:35:04.025605+00:00,confirmed
PIS BANGKA,1050935,T32,2026-08-29T03:45:00+00:00,2026-08-29T04:43:27.660443+00:00,confirmed
WTR OCEAN 88,9712400,T16,2026-08-29T03:52:00+00:00,2026-08-29T04:49:48.258584+00:00,confirmed
NAVIOS CHRYSALIS,9345960,T08,2026-08-29T04:00:00+00:00,2026-08-29T04:33:45.592096+00:00,confirmed
FALCON COURAGE,9522659,T05,2026-08-29T04:00:00+00:00,2026-08-29T04:52:12.368601+00:00,confirmed
CAPRICORN 80,9637052,T04,2026-08-29T04:00:00+00:00,2026-08-29T04:54:31.945540+00:00,confirmed
HAFNIA MYNA,9708083,T03,2026-08-29T04:00:00+00:00,2026-08-29T04:33:45.699737+00:00,confirmed
CAPRICORN 59,5256017,T29,2026-08-29T04:00:00+00:00,2026-08-29T04:41:51.265582+00:00,confirmed
BBC KHERSON,9812016,T27,2026-08-29T04:00:00+00:00,2026-08-29T04:59:43.380265+00:00,confirmed
MARLA ROYALTY,9985796,T30,2026-08-29T04:00:00+00:00,2026-08-29T04:36:55.504296+00:00,confirmed
ELSE,9462495,T06,2026-08-29T04:15:00+00:00,2026-08-29T05:08:33.775157+00:00,confirmed
VAN KNIGHT,9602966,T02,2026-08-29T04:15:00+00:00,2026-08-29T05:02:45.042556+00:00,confirmed
EVER LYRIC,9629108,T14,2026-08-29T04:15:00+00:00,2026-08-29T04:52:22.795905+00:00,confirmed
LOCOMOTION,9667423,T20,2026-08-29T04:30:00+00:00,2026-08-29T05:23:06.026434+00:00,confirmed
MEDI NOSHIMA,1026984,T18,2026-08-29T04:30:00+00:00,2026-08-29T05:18:23.658485+00:00,confirmed
AFRA MARE,9404936,T23,2026-08-29T05:00:00+00:00,2026-08-29T05:52:52.927884+00:00,confirmed
SEAMERIDIAN,9462897,T03,2026-08-29T05:00:00+00:00,2026-08-29T05:39:03.944112+00:00,confirmed
REGENT GEMINI,9736004,T22,2026-08-29T05:00:00+00:00,2026-08-29T05:47:09.913720+00:00,confirmed
ALS VENUS,9525948,T10,2026-08-29T05:00:00+00:00,2026-08-29T05:53:08.788237+00:00,confirmed
SPIL KARTINI,9353266,T21,2026-08-29T05:15:00+00:00,2026-08-29T05:50:43.400127+00:00,confirmed
HMM STOCKHOLM,9868352,T32,2026-08-29T05:15:00+00:00,2026-08-29T06:03:59.843518+00:00,confirmed
ALEX,9482122,T17,2026-08-29T05:30:00+00:00,2026-08-29T06:20:44.086068+00:00,confirmed
XIN HAI TONG 38,9622784,T31,2026-08-29T05:30:00+00:00,2026-08-29T06:01:41.746680+00:00,confirmed
DE XIN XING LONG,9612088,T16,2026-08-29T05:45:00+00:00,2026-08-29T06:30:46.938600+00:00,confirmed
SD EMERALD,9447512,T20,2026-08-29T06:00:00+00:00,2026-08-29T06:50:43.511495+00:00,confirmed
NUSANTARA 2501,0,T30,2026-08-29T06:00:00+00:00,2026-08-29T06:57:38.984559+00:00,confirmed
GLORY BLUE,9430686,T02,2026-08-29T06:00:00+00:00,2026-08-29T06:38:25.025633+00:00,confirmed
INNOVATION WAY,9221205,T26,2026-08-29T06:00:00+00:00,2026-08-29T06:39:06.453892+00:00,confirmed
KOTA JOHAN,9641003,T01,2026-08-29T06:00:00+00:00,2026-08-29T06:40:09.888560+00:00,confirmed
POLYAIGOS,9306574,T03,2026-08-29T06:00:00+00:00,2026-08-29T06:39:43.736688+00:00,confirmed
FURE VALENTIA,1033377,T25,2026-08-29T06:00:00+00:00,2026-08-29T06:30:24.196655+00:00,confirmed
GEMINI LEADER,9519121,T04,2026-08-29T06:30:00+00:00,2026-08-29T07:15:18.084305+00:00,confirmed
BLUEBIRD ARROW,9635377,T32,2026-08-29T06:30:00+00:00,2026-08-29T07:02:20.263546+00:00,confirmed
SANTA REGINA,9675274,T10,2026-08-29T06:30:00+00:00,2026-08-29T07:08:08.048979+00:00,confirmed
RINI,9411006,T11,2026-08-29T06:45:00+00:00,2026-08-29T07:28:25.254383+00:00,confirmed
MINERAL NACER,9719939,T26,2026-08-29T06:45:00+00:00,2026-08-29T07:20:23.069675+00:00,confirmed
SAMWOH PRIDE,9433248,T28,2026-08-29T07:00:00+00:00,2026-08-29T07:33:19.014270+00:00,confirmed
KOTA NEKAD,9390252,T34,2026-08-29T07:00:00+00:00,2026-08-29T07:35:53.978607+00:00,confirmed
BINA MARINE 80,0,T12,2026-08-29T07:00:00+00:00,2026-08-29T07:34:02.356724+00:00,confirmed
MARCEL,9597812,T07,2026-08-29T07:00:00+00:00,2026-08-29T07:53:26.868744+00:00,confirmed
BINA MARINE 109,9634476,T33,2026-08-29T07:00:00+00:00,2026-08-29T07:43:23.033200+00:00,confirmed
GARUDA MAKMUR,9627784,T09,2026-08-29T07:00:00+00:00,2026-08-29T07:41:51.726385+00:00,confirmed
LL LEXXUS,9712072,T24,2026-08-29T07:00:00+00:00,2026-08-29T07:55:43.791139+00:00,confirmed
GARUDA ABADI,9682306,T02,2026-08-29T07:00:00+00:00,2026-08-29T07:30:33.742601+00:00,confirmed
CONCORD SERENITY,9277785,T20,2026-08-29T07:00:00+00:00,2026-08-29T07:41:02.252431+00:00,confirmed
LL 2508,0,T08,2026-08-29T07:00:00+00:00,2026-08-29T07:36:25.356423+00:00,confirmed
SOL 2317,3381829,T14,2026-08-29T07:00:00+00:00,2026-08-29T07:41:15.273047+00:00,confirmed
RIBERA DEL DUERO KNUTSEN,9477593,T29,2026-08-29T07:00:00+00:00,2026-08-29T07:37:34.052734+00:00,confirmed
SOL 1006,5630136,T05,2026-08-29T07:00:00+00:00,2026-08-29T07:37:20.086463+00:00,confirmed
SAMUDRA III,5101111,T23,2026-08-29T07:00:00+00:00,2026-08-29T07:32:21.024053+00:00,confirmed
MEGAMAS STAR,9796523,T13,2026-08-29T07:00:00+00:00,2026-08-29T07:42:03.701934+00:00,confirmed
CENDERAWASIH BAY 2308,5250221,T21,2026-08-29T07:00:00+00:00,2026-08-29T07:54:05.800210+00:00,confirmed
SOL 1009,8782159,T01,2026-08-29T07:00:00+00:00,2026-08-29T07:36:30.003312+00:00,confirmed
EVER OUTWIT,9913901,T15,2026-08-29T07:00:00+00:00,2026-08-29T07:36:46.722908+00:00,confirmed
HANIFARU BAY 2317,5667010,T30,2026-08-29T07:00:00+00:00,2026-08-29T07:37:53.266660+00:00,confirmed
BAJ 2302,0,T19,2026-08-29T07:00:00+00:00,2026-08-29T07:40:26.876766+00:00,confirmed
CASSANDRA 2505,5633580,T06,2026-08-29T07:00:00+00:00,2026-08-29T07:37:55.583263+00:00,confirmed
CHILEAN DOLPHIN,1078872,T22,2026-08-29T07:00:00+00:00,2026-08-29T07:57:58.893928+00:00,confirmed
BUCARELI BAY 2333,3066630,T27,2026-08-29T07:00:00+00:00,2026-08-29T07:51:35.247469+00:00,confirmed
CASSANDRA 235,1128172,T25,2026-08-29T07:00:00+00:00,2026-08-29T07:59:53.133877+00:00,confirmed
CASSANDRA 2506,0,T16,2026-08-29T07:00:00+00:00,2026-08-29T07:53:37.047791+00:00,confirmed
CASSANDRA 236,1143146,T18,2026-08-29T07:00:00+00:00,2026-08-29T07:58:08.566089+00:00,confirmed
GRANITE JALADHI,0,T17,2026-08-29T07:00:00+00:00,2026-08-29T07:51:54.595150+00:00,confirmed
LL ASRI,9922586,T03,2026-08-29T07:00:00+00:00,2026-08-29T07:53:26.743369+00:00,confirmed
SUMBER CIPTA I,0,T31,2026-08-29T07:00:00+00:00,2026-08-29T07:54:04.462803+00:00,confirmed
SEMBILAN ENAM 96,6360100,T32,2026-08-29T07:04:56+00:00,2026-08-29T07:56:07.874444+00:00,confirmed
GLOVIS SUPERIOR,9674189,T10,2026-08-29T07:15:00+00:00,2026-08-29T07:51:20.175408+00:00,confirmed
BINA MARINE 27,9508562,T26,2026-08-29T07:23:32+00:00,2026-08-29T08:10:08.044918+00:00,confirmed
TOLL JADE,9355915,T11,2026-08-29T07:30:00+00:00,2026-08-29T08:24:34.415261+00:00,confirmed
ESTEEM DISCOVERY,9882358,T04,2026-08-29T07:30:00+00:00,2026-08-29T08:15:19.756098+00:00,confirmed
AYU 28,9413080,T02,2026-08-29T07:30:43+00:00,2026-08-29T08:07:11.738238+00:00,confirmed
CSPC TAURUS,1051927,T09,2026-08-29T07:45:00+00:00,2026-08-29T08:37:45.690118+00:00,confirmed
ANDAMAN PRINCESS,0,T20,2026-08-29T07:48:30+00:00,2026-08-29T08:29:56.226966+00:00,confirmed
EPICUREAN,3021090,T34,2026-08-29T07:52:42+00:00,2026-08-29T08:35:33.587179+00:00,confirmed
GH VISION,9637791,T25,2026-08-29T08:00:00+00:00,2026-08-29T08:49:46.408089+00:00,confirmed
HUA HAI LONG,9560144,T28,2026-08-29T08:00:00+00:00,2026-08-29T08:57:08.997362+00:00,confirmed
PAN MARGARET,9545297,T15,2026-08-29T08:00:00+00:00,2026-08-29T08:41:14.130123+00:00,confirmed
BUKIT EMAS 2371,0,T18,2026-08-29T08:00:00+00:00,2026-08-29T08:32:05.875139+00:00,confirmed
CAPE APOLLO,9324136,T17,2026-08-29T08:00:00+00:00,2026-08-29T08:36:14.990913+00:00,confirmed
FALCON DELAPAN,5642650,T10,2026-08-29T08:00:00+00:00,2026-08-29T08:53:34.302154+00:00,confirmed
NEFELI,9317468,T03,2026-08-29T08:00:00+00:00,2026-08-29T08:58:41.569583+00:00,confirmed
MSC MARGRIT XIII,9465318,T32,2026-08-29T08:00:00+00:00,2026-08-29T08:37:58.218983+00:00,confirmed
INDAH LAUT 2201,0,T12,2026-08-29T08:00:00+00:00,2026-08-29T08:44:53.389688+00:00,confirmed
PCF 2402,0,T08,2026-08-29T08:00:00+00:00,2026-08-29T08:59:57.483122+00:00,confirmed
ASL ABADI 1,8661628,T29,2026-08-29T08:00:00+00:00,2026-08-29T08:36:09.447481+00:00,confirmed
ZHONG SHENG 1,8580680,T24,2026-08-29T08:00:00+00:00,2026-08-29T08:42:35.605279+00:00,confirmed
YA QING ZHI XING,1065978,T05,2026-08-29T08:00:00+00:00,2026-08-29T08:47:56.359631+00:00,confirmed
LIVERPOOL BAY 2334,5111019,T07,2026-08-29T08:00:00+00:00,2026-08-29T08:53:29.567276+00:00,confirmed
AMAKUSA DOLPHIN,1060083,T27,2026-08-29T08:00:00+00:00,2026-08-29T08:43:17.912591+00:00,confirmed
INTAN JALADHI,0,T01,2026-08-29T08:00:00+00:00,2026-08-29T08:58:11.973326+00:00,confirmed
SHENG XIN 2,1121760,T02,2026-08-29T08:15:00+00:00,2026-08-29T09:03:54.479680+00:00,confirmed
BINA MARINE 86,0,T26,2026-08-29T08:30:00+00:00,2026-08-29T09:02:00.378775+00:00,confirmed
KPS 1306,0,T16,2026-08-29T08:30:00+00:00,2026-08-29T09:26:34.188681+00:00,confirmed
DRAKO EXCELLENT,9638276,T19,2026-08-29T08:30:00+00:00,2026-08-29T09:12:00.239218+00:00,confirmed
DARYA TIANA,9720316,T06,2026-08-29T08:30:00+00:00,2026-08-29T09:08:43.348843+00:00,confirmed
SPAIN B,9722924,T30,2026-08-29T08:30:00+00:00,2026-08-29T09:03:30.146565+00:00,confirmed
BAJ 2305,0,T14,2026-08-29T08:30:00+00:00,2026-08-29T09:15:28.700291+00:00,confirmed
BW JUSTICE,9327906,T33,2026-08-29T08:30:07+00:00,2026-08-29T09:13:30.508471+00:00,confirmed
BINA MARINE 85,9627215,T22,2026-08-29T08:30:39+00:00,2026-08-29T09:26:28.798735+00:00,confirmed
ABHIMATA 1,5251012,T17,2026-08-29T08:43:12+00:00,2026-08-29T09:36:27.802493+00:00,confirmed
ANDROMEDA V,9174115,T13,2026-08-29T09:00:00+00:00,2026-08-29T09:51:38.128119+00:00,confirmed
GHT MARINAS,8014667,T34,2026-08-29T09:00:00+00:00,2026-08-29T09:35:39.234279+00:00,confirmed
NORD VICTORIOUS,9903138,T03,2026-08-29T09:00:00+00:00,2026-08-29T09:50:48.695189+00:00,confirmed
WINSTAR 2320,0,T15,2026-08-29T09:00:00+00:00,2026-08-29T09:49:40.792218+00:00,confirmed
ESTEEM ENERGY,9882346,T32,2026-08-29T09:00:00+00:00,2026-08-29T09:56:36.827442+00:00,confirmed
CASSANDRA 1,1116715,T11,2026-08-29T09:00:09+00:00,2026-08-29T09:31:19.181898+00:00,confirmed
WINSTAR CHAMPION,9208552,T12,2026-08-29T09:00:34+00:00,2026-08-29T09:46:21.641157+00:00,confirmed
TITANINDO I,1047598,T31,2026-08-29T09:00:39+00:00,2026-08-29T09:55:06.455843+00:00,confirmed
CAPE RACE,9601728,T28,2026-08-29T09:15:00+00:00,2026-08-29T09:54:54.336106+00:00,confirmed
GASLOG HONG KONG,9748904,T33,2026-08-29T09:30:00+00:00,2026-08-29T10:16:50.149495+00:00,confirmed
VAN HANNAH,9965021,T20,2026-08-29T09:30:00+00:00,2026-08-29T10:13:16.077014+00:00,confirmed
BASSILEVOUSA,9295335,T07,2026-08-29T09:45:00+00:00,2026-08-29T10:15:47.258314+00:00,confirmed
EVER MEED,9935258,T34,2026-08-29T09:45:00+00:00,2026-08-29T10:19:43.488602+00:00,confirmed
BERGE ROSA,9346378,T05,2026-08-29T10:00:00+00:00,2026-08-29T10:33:39.883267+00:00,confirmed
IRENES RAY,9322504,T25,2026-08-29T10:00:00+00:00,2026-08-29T10:38:20.033520+00:00,confirmed
MS SALVIA,9368924,T15,2026-08-29T10:00:00+00:00,2026-08-29T10:32:11.247568+00:00,confirmed
OIGAWA,9434242,T03,2026-08-29T10:00:00+00:00,2026-08-29T10:39:37.569028+00:00,confirmed
CE HAMILTON,9411238,T22,2026-08-29T10:00:00+00:00,2026-08-29T10:46:13.084357+00:00,confirmed
ASTRAL ACE,9182368,T16,2026-08-29T10:00:00+00:00,2026-08-29T10:47:39.595222+00:00,confirmed
BLUE NAVIGATOR,9966879,T13,2026-08-29T10:00:00+00:00,2026-08-29T10:47:59.376517+00:00,confirmed
STOLT COMMITMENT,9168647,T20,2026-08-29T10:15:00+00:00,2026-08-29T11:04:36.022465+00:00,confirmed
FLC FORTUNE,9482500,T11,2026-08-29T10:30:00+00:00,2026-08-29T11:07:23.755650+00:00,confirmed
XT PROGRESS,9500144,T26,2026-08-29T10:30:00+00:00,2026-08-29T11:04:39.360481+00:00,confirmed
CAPTAIN A STELLATOS,9439670,T24,2026-08-29T11:00:00+00:00,2026-08-29T11:56:20.235195+00:00,confirmed
HANYU CAMELLIA,9542154,T31,2026-08-29T11:00:00+00:00,2026-08-29T11:34:24.268238+00:00,confirmed
SEAPEAK MANILA,9770921,T32,2026-08-29T11:00:00+00:00,2026-08-29T11:56:21.995822+00:00,confirmed
HL MERCURY,9845142,T34,2026-08-29T11:00:00+00:00,2026-08-29T11:39:43.747165+00:00,confirmed
NORD ARIES,9785976,T30,2026-08-29T11:00:00+00:00,2026-08-29T11:43:26.421630+00:00,confirmed
SOLAR LAI FONG,9907809,T14,2026-08-29T11:00:00+00:00,2026-08-29T11:45:57.465185+00:00,confirmed
MSC GEMMA,9936616,T23,2026-08-29T11:00:00+00:00,2026-08-29T11:50:01.090181+00:00,confirmed
YIHAI 18,1075428,T19,2026-08-29T11:00:00+00:00,2026-08-29T11:31:47.342835+00:00,confirmed
SIEM SYMPHONY,9690066,T15,2026-08-29T11:00:00+00:00,2026-08-29T11:59:39.661446+00:00,confirmed
CL SPEC LINDA,1122570,T07,2026-08-29T11:00:00+00:00,2026-08-29T11:56:02.092897+00:00,confirmed
MARISCA TIDE,9289506,T01,2026-08-29T11:30:00+00:00,2026-08-29T12:01:20.479997+00:00,confirmed
ANNABEL L,9853711,T21,2026-08-29T11:40:00+00:00,2026-08-29T12:18:32.734154+00:00,confirmed
DIANTHUS,9615080,T17,2026-08-29T11:45:00+00:00,2026-08-29T12:20:26.356432+00:00,confirmed
ORKIM HARMONY,9524671,T09,2026-08-29T12:00:00+00:00,2026-08-29T12:58:44.614129+00:00,confirmed
POAVOSA BRAVE,9519195,T22,2026-08-29T12:00:00+00:00,2026-08-29T12:58:17.404108+00:00,confirmed
OOCL INDONESIA,9776224,T34,2026-08-29T12:00:00+00:00,2026-08-29T12:39:04.620271+00:00,confirmed
BERGE NISHIKAWA,9863792,T15,2026-08-29T12:00:00+00:00,2026-08-29T12:37:51.538330+00:00,confirmed
ALS FIDES,9938315,T13,2026-08-29T12:00:00+00:00,2026-08-29T12:38:31.729187+00:00,confirmed
YUAN XIANG FA ZHAN,1053028,T30,2026-08-29T12:00:00+00:00,2026-08-29T12:41:18.843519+00:00,confirmed
MSC ANGOLA,9978729,T17,2026-08-29T12:30:00+00:00,2026-08-29T13:08:40.785578+00:00,confirmed
SUPER HERO,9341330,T29,2026-08-29T13:00:00+00:00,2026-08-29T13:50:49.238879+00:00,confirmed
ORE TANGSHAN,9815202,T32,2026-08-29T13:00:00+00:00,2026-08-29T13:58:34.225906+00:00,confirmed
PIONEER JAY 1,1145429,T13,2026-08-29T13:00:00+00:00,2026-08-29T13:59:25.310164+00:00,confirmed
MSC EMILY II,9236444,T10,2026-08-29T13:30:00+00:00,2026-08-29T14:13:54.120620+00:00,confirmed
KIM OLDENDORFF,9848998,T06,2026-08-29T13:30:00+00:00,2026-08-29T14:09:23.242120+00:00,confirmed
E CHEMIST,9809655,T12,2026-08-29T13:30:00+00:00,2026-08-29T14:10:19.347497+00:00,confirmed
FRANZISKA,9535618,T17,2026-08-29T14:00:00+00:00,2026-08-29T14:44:19.726319+00:00,confirmed
XIN LAN ZHOU,9523031,T01,2026-08-29T14:00:00+00:00,2026-08-29T14:32:48.855018+00:00,confirmed
NAVE ATROPOS,9638563,T32,2026-08-29T14:00:00+00:00,2026-08-29T14:50:16.861702+00:00,confirmed
SALVIA,9409508,T14,2026-08-29T14:00:00+00:00,2026-08-29T14:34:49.538821+00:00,confirmed
VICTORY LIGHT,9161871,T30,2026-08-29T14:00:00+00:00,2026-08-29T14:59:35.753428+00:00,confirmed
SEA LONGEVITY,9711092,T03,2026-08-29T14:00:00+00:00,2026-08-29T14:49:46.380184+00:00,confirmed
SUN APOLLON,9700445,T27,2026-08-29T14:00:00+00:00,2026-08-29T14:57:39.047383+00:00,confirmed
AN HANG 99,1145209,T02,2026-08-29T14:00:00+00:00,2026-08-29T14:34:47.102746+00:00,confirmed
GAS VIOLET,1030260,T09,2026-08-29T14:00:00+00:00,2026-08-29T14:42:01.802904+00:00,confirmed
AC AMITY,9623116,T10,2026-08-29T14:15:00+00:00,2026-08-29T15:09:40.926619+00:00,confirmed
HK DELIGHT,9370238,T24,2026-08-29T14:30:00+00:00,2026-08-29T15:20:31.814581+00:00,confirmed
OCEAN STAR,9363857,T03,2026-08-29T15:00:00+00:00,2026-08-29T15:52:11.932502+00:00,confirmed
EVER USEFUL,9168879,T25,2026-08-29T15:00:00+00:00,2026-08-29T15:36:54.731225+00:00,confirmed
MEDIATOR,0,T22,2026-08-29T15:00:18+00:00,2026-08-29T15:38:01.533952+00:00,confirmed
FRONT EARL,9788320,T14,2026-08-29T15:15:00+00:00,2026-08-29T16:00:15.291163+00:00,confirmed
CONCORD,9274006,T04,2026-08-29T15:30:00+00:00,2026-08-29T16:27:37.993612+00:00,confirmed
MINERAL KWANGYANG,9722429,T17,2026-08-29T15:30:00+00:00,2026-08-29T16:11:45.019511+00:00,confirmed
AQUAVITA TRUST,9826445,T32,2026-08-29T15:45:00+00:00,2026-08-29T16:26:07.471205+00:00,confirmed
GREAT CASABLANCA,9935052,T05,2026-08-29T15:45:00+00:00,2026-08-29T16:20:22.972454+00:00,confirmed
KOTA HALUS,9238612,T06,2026-08-29T16:00:00+00:00,2026-08-29T16:37:14.050774+00:00,confirmed
THARINEE NAREE,9333242,T11,2026-08-29T16:00:00+00:00,2026-08-29T16:33:38.624677+00:00,confirmed
BOW SAGA,9215309,T15,2026-08-29T16:00:00+00:00,2026-08-29T16:42:41.322384+00:00,confirmed
CHANG HANG FENG CAI,9379789,T23,2026-08-29T16:00:00+00:00,2026-08-29T16:47:59.869157+00:00,confirmed
LUCAS,9474591,T19,2026-08-29T16:00:00+00:00,2026-08-29T16:37:07.161583+00:00,confirmed
MAJU DAYA 61,9760718,T08,2026-08-29T16:00:00+00:00,2026-08-29T16:57:06.438170+00:00,confirmed
FARAH LOUISE,9785603,T21,2026-08-29T16:00:00+00:00,2026-08-29T16:45:12.591807+00:00,confirmed
CMA CGM AMAZON,9706308,T25,2026-08-29T16:00:00+00:00,2026-08-29T16:44:39.808271+00:00,confirmed
HENG HUI 69,1044132,T24,2026-08-29T16:00:00+00:00,2026-08-29T16:31:29.898462+00:00,confirmed
MARCOPOLO 806,0,T03,2026-08-29T16:00:00+00:00,2026-08-29T16:33:37.332274+00:00,confirmed
BOCHEM OSLO,9420710,T31,2026-08-29T16:15:00+00:00,2026-08-29T17:06:03.808993+00:00,confirmed
EMERALD DONGJI,9726528,T27,2026-08-29T16:15:00+00:00,2026-08-29T16:57:45.038534+00:00,confirmed
PACIFIC WORLD,9000259,T30,2026-08-29T16:30:00+00:00,2026-08-29T17:15:00.502629+00:00,confirmed
MAERSK STADELHORN,9726671,T16,2026-08-29T16:30:00+00:00,2026-08-29T17:14:37.984426+00:00,confirmed
MAERSK CAPRI,9786140,T17,2026-08-29T16:30:00+00:00,2026-08-29T17:08:18.164192+00:00,confirmed
SHINE PEARL,9971496,T01,2026-08-29T16:45:00+00:00,2026-08-29T17:24:13.513028+00:00,confirmed
XAN,9354545,T14,2026-08-29T17:00:00+00:00,2026-08-29T17:35:53.561808+00:00,confirmed
CONSTANCY,9493042,T20,2026-08-29T17:00:00+00:00,2026-08-29T17:59:37.073916+00:00,confirmed
MEDI EOLIE,9728186,T19,2026-08-29T17:00:00+00:00,2026-08-29T17:42:10.178282+00:00,confirmed
MINERAL SUMIRE,9701358,T27,2026-08-29T17:00:00+00:00,2026-08-29T17:59:02.163668+00:00,confirmed
TRUONG MINH LUCKY,9391622,T12,2026-08-29T17:00:00+00:00,2026-08-29T17:50:01.959985+00:00,confirmed
EAGLE AMETHYST,9980655,T03,2026-08-29T17:00:00+00:00,2026-08-29T17:42:06.724083+00:00,confirmed
EM SHONA,1072660,T26,2026-08-29T17:00:00+00:00,2026-08-29T17:42:03.980829+00:00,confirmed
PARTHENON LNG,9992220,T32,2026-08-29T17:00:00+00:00,2026-08-29T17:37:40.612228+00:00,confirmed
RUN JIU 68,1118464,T33,2026-08-29T17:00:00+00:00,2026-08-29T17:46:43.392824+00:00,confirmed
CAPE BOSS,9268796,T11,2026-08-29T17:30:00+00:00,2026-08-29T18:18:50.918490+00:00,confirmed
EVA GOLD,9888132,T14,2026-08-29T17:45:00+00:00,2026-08-29T18:33:26.011936+00:00,confirmed
ASIAN GRACE,9317030,T19,2026-08-29T18:00:00+00:00,2026-08-29T18:58:40.525114+00:00,confirmed
SANMAR SAROD,9321184,T30,2026-08-29T18:00:00+00:00,2026-08-29T18:45:54.021206+00:00,confirmed
MRC SEDEF,9335032,T25,2026-08-29T18:00:00+00:00,2026-08-29T18:58:33.940977+00:00,confirmed
BHUDTHI BHUM,9403621,T02,2026-08-29T18:00:00+00:00,2026-08-29T18:31:58.620838+00:00,confirmed
NOEL,9414319,T24,2026-08-29T18:00:00+00:00,2026-08-29T18:36:58.995529+00:00,confirmed
INFINITI 5,0,T15,2026-08-29T18:00:00+00:00,2026-08-29T18:37:22.660580+00:00,confirmed
AN XING ZUO,9614062,T01,2026-08-29T18:00:00+00:00,2026-08-29T18:37:30.077969+00:00,confirmed
MACAU STAR,9947897,T32,2026-08-29T18:00:00+00:00,2026-08-29T18:38:41.437343+00:00,confirmed
NSU TUBARAO,9848194,T27,2026-08-29T18:00:00+00:00,2026-08-29T18:41:00.744568+00:00,confirmed
EL NINA SAMUDRA,9824966,T06,2026-08-29T18:00:00+00:00,2026-08-29T18:42:27.219833+00:00,confirmed
JIADA,9546112,T20,2026-08-29T18:30:00+00:00,2026-08-29T19:01:28.958455+00:00,confirmed
CYCAS,9403114,T12,2026-08-29T19:00:00+00:00,2026-08-29T19:41:51.887288+00:00,confirmed
CL AQABA,9446128,T22,2026-08-29T19:00:00+00:00,2026-08-29T19:47:25.801304+00:00,confirmed
LAKE ANNECY,9946063,T29,2026-08-29T19:00:00+00:00,2026-08-29T19:50:06.391186+00:00,confirmed
IOLCOS AMBITION,9530632,T18,2026-08-29T19:30:00+00:00,2026-08-29T20:09:41.733063+00:00,confirmed
MTT SANDAKAN,9872248,T01,2026-08-29T19:30:00+00:00,2026-08-29T20:17:40.699605+00:00,confirmed
AGRI WARRIOR,9780988,T13,2026-08-29T19:30:00+00:00,2026-08-29T20:28:34.847254+00:00,confirmed
BHUREEMAS,9547568,T21,2026-08-29T20:00:00+00:00,2026-08-29T20:38:14.133173+00:00,confirmed
HEDWIG SCHULTE,9535149,T22,2026-08-29T20:00:00+00:00,2026-08-29T20:31:17.142222+00:00,confirmed
BRAVE EAGLE,1014424,T12,2026-08-29T20:00:00+00:00,2026-08-29T20:37:15.267106+00:00,confirmed
KOTA VALPARAISO,9937531,T16,2026-08-29T20:00:00+00:00,2026-08-29T20:40:57.184146+00:00,confirmed
FRONT CLYDE,1116038,T28,2026-08-29T20:00:00+00:00,2026-08-29T20:54:47.328855+00:00,confirmed
BAI CHAY BRIDGE,9463346,T24,2026-08-29T20:30:00+00:00,2026-08-29T21:13:27.847853+00:00,confirmed
