vessel_name,imo_number,berth_id,start_time,end_time,status
NORD PHINDA,9700940,B61,2026-08-30T19:15:00+00:00,2026-08-31T04:10:53.820828+00:00,confirmed
NYK VENUS,9312793,B03,2026-08-30T19:30:00+00:00,2026-08-31T06:22:12.921864+00:00,confirmed
HANNES OLDENDORFF,9750402,B09,2026-08-30T19:45:00+00:00,2026-08-31T03:38:10.348647+00:00,confirmed
EDEN,9471185,B34,2026-08-30T20:00:00+00:00,2026-08-31T05:51:56.287336+00:00,confirmed
SEIYO GODDESS,9581045,B50,2026-08-30T20:00:00+00:00,2026-08-31T01:04:16.977829+00:00,confirmed
ALEGRIA,9169392,B71,2026-08-30T20:00:00+00:00,2026-08-31T07:14:19.196546+00:00,confirmed
MAGPIE SW,9692739,B30,2026-08-30T20:00:00+00:00,2026-08-31T02:42:34.593100+00:00,confirmed
NILIKHA,9726748,B42,2026-08-30T20:00:00+00:00,2026-08-31T03:07:32.746130+00:00,confirmed
PEARL LONGEVITY,1052531,B28,2026-08-30T20:00:00+00:00,2026-08-31T05:17:42.605089+00:00,confirmed
AGIA YPOMONI,9500297,B46,2026-08-30T20:30:00+00:00,2026-08-31T08:08:07.072462+00:00,confirmed
GLOVIS CARDINAL,9419759,B72,2026-08-30T21:00:00+00:00,2026-08-31T01:26:54.757949+00:00,confirmed
ARIETTA LILY,9727479,B08,2026-08-30T21:00:00+00:00,2026-08-31T03:56:08.065911+00:00,confirmed
ORKIM CHALLENGER,9564372,B15,2026-08-30T21:30:00+00:00,2026-08-31T04:22:22.700789+00:00,confirmed
EVER ULYSSES,9196955,B66,2026-08-30T21:30:00+00:00,2026-08-31T03:09:10.997685+00:00,confirmed
MSC JERSEY,9622007,B05,2026-08-30T21:30:00+00:00,2026-08-31T08:41:43.092592+00:00,confirmed
PAOLO TOPIC,9726255,B59,2026-08-30T21:30:00+00:00,2026-08-31T06:05:18.073340+00:00,confirmed
T PROCYON,9569499,B24,2026-08-30T21:45:00+00:00,2026-08-31T04:02:29.731944+00:00,confirmed
BANGKOK CHEMI,9330410,B74,2026-08-30T22:00:00+00:00,2026-08-31T06:42:38.172233+00:00,confirmed
ANGEL NO 11,9486233,B37,2026-08-30T22:00:00+00:00,2026-08-31T06:24:54.969080+00:00,confirmed
ORKIM FORTUNE,9524657,B32,2026-08-30T22:00:00+00:00,2026-08-31T09:40:41.439678+00:00,confirmed
GH UMEKO,9708576,B20,2026-08-30T22:00:00+00:00,2026-08-31T07:51:39.959174+00:00,confirmed
YUAN SUI HAI,9806938,B29,2026-08-30T22:00:00+00:00,2026-08-31T06:47:47.133727+00:00,confirmed
MAPLE,9985318,B21,2026-08-30T22:00:00+00:00,2026-08-31T08:26:28.401083+00:00,confirmed
DELAPAN SEMBILAN 89,9574767,B49,2026-08-30T22:06:00+00:00,2026-08-31T08:53:22.188226+00:00,confirmed
PM REGALIA,9307786,B10,2026-08-30T22:15:00+00:00,2026-08-31T02:51:26.656647+00:00,confirmed
GREAT WALRUS,9450179,B69,2026-08-30T22:22:00+00:00,2026-08-31T07:58:20.390609+00:00,confirmed
PACIFIC FORTUNE,9388912,B73,2026-08-30T22:22:00+00:00,2026-08-31T04:39:38.541837+00:00,confirmed
GREAT QIN,9526667,B41,2026-08-30T22:22:00+00:00,2026-08-31T07:48:38.012393+00:00,confirmed
LAGOM,9939606,B75,2026-08-30T22:22:00+00:00,2026-08-31T10:01:23.010087+00:00,confirmed
NICOLEMY,9613094,B58,2026-08-30T22:30:00+00:00,2026-08-31T09:46:31.406537+00:00,confirmed
MAO GANG GUANG ZHOU,9981348,B18,2026-08-30T22:30:00+00:00,2026-08-31T08:29:01.652880+00:00,confirmed
NORTHERN MONUMENT,9252577,B52,2026-08-30T22:45:00+00:00,2026-08-31T02:46:16.622105+00:00,confirmed
PARTNERSHIP,9597848,B70,2026-08-30T23:00:00+00:00,2026-08-31T10:28:53.930240+00:00,confirmed
PIS RINJANI,9792864,B22,2026-08-30T23:00:00+00:00,2026-08-31T05:10:00.569008+00:00,confirmed
SUPER HERO,9341330,B43,2026-08-30T23:30:00+00:00,2026-08-31T06:40:24.653859+00:00,confirmed
