vessel_name,imo_number,tug_id,start_time,end_time,status
POLYWORLD,9626584,T13,2026-08-30T17:45:00+00:00,2026-08-30T18:44:43.815186+00:00,confirmed
SRIWANGI II,9313096,T02,2026-08-30T18:00:00+00:00,2026-08-30T18:34:00.166838+00:00,confirmed
FLY GURNARD,9123881,T08,2026-08-30T18:00:00+00:00,2026-08-30T18:49:59.782204+00:00,confirmed
LOTUS LEADER,9202883,T12,2026-08-30T18:00:00+00:00,2026-08-30T18:39:46.102778+00:00,confirmed
MARIT MAERSK,9632167,T09,2026-08-30T18:00:00+00:00,2026-08-30T18:35:49.207505+00:00,confirmed
SHENG SHA 12,1050014,T14,2026-08-30T18:00:00+00:00,2026-08-30T18:47:45.071823+00:00,confirmed
OCEAN SUNRISE,9292357,T04,2026-08-30T18:15:00+00:00,2026-08-30T18:49:08.043781+00:00,confirmed
NAVIOS ANTARES,9481257,T06,2026-08-30T18:15:00+00:00,2026-08-30T18:52:53.444154+00:00,confirmed
FPMC C NOBLE,9419955,T07,2026-08-30T18:30:00+00:00,2026-08-30T19:11:55.468087+00:00,confirmed
TSL LUSAHA,9712462,T03,2026-08-30T18:30:00+00:00,2026-08-30T19:20:50.835770+00:00,confirmed
DOLPHIN 77,9279381,T11,2026-08-30T18:45:00+00:00,2026-08-30T19:40:41.650658+00:00,confirmed
WAN SENDARI,9503718,T12,2026-08-30T18:45:00+00:00,2026-08-30T19:32:23.895515+00:00,confirmed
HTK SYMPHONY,9668271,T10,2026-08-30T18:45:00+00:00,2026-08-30T19:32:55.572828+00:00,confirmed
SINAR BINTAN,9250957,T04,2026-08-30T19:00:00+00:00,2026-08-30T19:47:49.690825+00:00,confirmed
D ANGELS,9252357,T13,2026-08-30T19:00:00+00:00,2026-08-30T19:35:27.302167+00:00,confirmed
PARAMITA,9162112,T06,2026-08-30T19:00:00+00:00,2026-08-30T19:36:28.765679+00:00,confirmed
GLOBAL THEMIS,9810850,T14,2026-08-30T19:00:00+00:00,2026-08-30T19:30:35.660025+00:00,confirmed
NORD PHINDA,9700940,T07,2026-08-30T19:15:00+00:00,2026-08-30T20:02:54.842945+00:00,confirmed
NYK VENUS,9312793,T02,2026-08-30T19:30:00+00:00,2026-08-30T20:24:05.003050+00:00,confirmed
HANNES OLDENDORFF,9750402,T08,2026-08-30T19:45:00+00:00,2026-08-30T20:44:30.552824+00:00,confirmed
EDEN,9471185,T09,2026-08-30T20:00:00+00:00,2026-08-30T20:46:08.632977+00:00,confirmed
SEIYO GODDESS,9581045,T11,2026-08-30T20:00:00+00:00,2026-08-30T20:42:34.037240+00:00,confirmed
ALEGRIA,9169392,T14,2026-08-30T20:00:00+00:00,2026-08-30T20:48:53.724172+00:00,confirmed
MAGPIE SW,9692739,T12,2026-08-30T20:00:00+00:00,2026-08-30T20:58:36.955812+00:00,confirmed
NILIKHA,9726748,T05,2026-08-30T20:00:00+00:00,2026-08-30T20:43:35.665505+00:00,confirmed
PEARL LONGEVITY,1052531,T06,2026-08-30T20:00:00+00:00,2026-08-30T20:30:32.319655+00:00,confirmed
AGIA YPOMONI,9500297,T10,2026-08-30T20:30:00+00:00,2026-08-30T21:19:59.111590+00:00,confirmed
GLOVIS CARDINAL,9419759,T03,2026-08-30T21:00:00+00:00,2026-08-30T21:47:52.429580+00:00,confirmed
ARIETTA LILY,9727479,T14,2026-08-30T21:00:00+00:00,2026-08-30T21:54:56.315315+00:00,confirmed
ORKIM CHALLENGER,9564372,T12,2026-08-30T21:30:00+00:00,2026-08-30T22:21:29.585114+00:00,confirmed
EVER ULYSSES,9196955,T11,2026-08-30T21:30:00+00:00,2026-08-30T22:11:08.509965+00:00,confirmed
MSC JERSEY,9622007,T09,2026-08-30T21:30:00+00:00,2026-08-30T22:18:56.320902+00:00,confirmed
PAOLO TOPIC,9726255,T06,2026-08-30T21:30:00+00:00,2026-08-30T22:04:06.372683+00:00,confirmed
T PROCYON,9569499,T07,2026-08-30T21:45:00+00:00,2026-08-30T22:23:58.393899+00:00,confirmed
BANGKOK CHEMI,9330410,T02,2026-08-30T22:00:00+00:00,2026-08-30T22:39:31.786026+00:00,confirmed
ANGEL NO 11,9486233,T05,2026-08-30T22:00:00+00:00,2026-08-30T22:42:16.347043+00:00,confirmed
ORKIM FORTUNE,9524657,T03,2026-08-30T22:00:00+00:00,2026-08-30T22:37:34.845273+00:00,confirmed
GH UMEKO,9708576,T04,2026-08-30T22:00:00+00:00,2026-08-30T22:40:52.419810+00:00,confirmed
YUAN SUI HAI,9806938,T10,2026-08-30T22:00:00+00:00,2026-08-30T22:37:34.477272+00:00,confirmed
MAPLE,9985318,T14,2026-08-30T22:00:00+00:00,2026-08-30T22:39:40.921993+00:00,confirmed
DELAPAN SEMBILAN 89,9574767,T08,2026-08-30T22:06:00+00:00,2026-08-30T22:56:38.665333+00:00,confirmed
PM REGALIA,9307786,T01,2026-08-30T22:15:00+00:00,2026-08-30T22:54:39.362042+00:00,confirmed
GREAT WALRUS,9450179,T12,2026-08-30T22:22:00+00:00,2026-08-30T23:01:14.650120+00:00,confirmed
PACIFIC FORTUNE,9388912,T11,2026-08-30T22:22:00+00:00,2026-08-30T23:07:53.514866+00:00,confirmed
GREAT QIN,9526667,T09,2026-08-30T22:22:00+00:00,2026-08-30T23:18:40.732778+00:00,confirmed
LAGOM,9939606,T06,2026-08-30T22:22:00+00:00,2026-08-30T23:18:23.654134+00:00,confirmed
NICOLEMY,9613094,T07,2026-08-30T22:30:00+00:00,2026-08-30T23:15:11.276240+00:00,confirmed
MAO GANG GUANG ZHOU,9981348,T13,2026-08-30T22:30:00+00:00,2026-08-30T23:05:02.825492+00:00,confirmed
NORTHERN MONUMENT,9252577,T05,2026-08-30T22:45:00+00:00,2026-08-30T23:16:44.526643+00:00,confirmed
PARTNERSHIP,9597848,T08,2026-08-30T23:00:00+00:00,2026-08-30T23:54:40.036855+00:00,confirmed
PIS RINJANI,9792864,T01,2026-08-30T23:00:00+00:00,2026-08-30T23:51:36.411281+00:00,confirmed
SUPER HERO,9341330,T09,2026-08-30T23:30:00+00:00,2026-08-31T00:20:22.761777+00:00,confirmed
